Image frame,x_px,y_px,x,y,u,v,up,down
0,0,,,,,,,,
1,1,,,,,,,,
2,2,,,,,,,,
3,3,,,,,,,,
4,4,,,,,,,,
5,5,,,,,,,,
6,6,,,,,,,,
7,7,,,,,,,,
8,8,,,,,,,,
9,9,,,,,,,,
10,10,,,,,,,,
11,11,,,,,,,,
12,12,,,,,,,,
13,13,,,,,,,,
14,14,,,,,,,,
15,15,,,,,,,,
16,16,,,,,,,,
17,17,,,,,,,,
18,18,,,,,,,,
19,19,,,,,,,,
20,20,,,,,,,,
21,21,,,,,,,,
22,22,,,,,,,,
23,23,,,,,,,,
24,24,,,,,,,,
25,25,,,,,,,,
26,26,,,,,,,,
27,27,,,,,,,,
28,28,,,,,,,,
29,29,,,,,,,,
30,30,,,,,,,,
31,31,,,,,,,,
32,32,,,,,,,,
33,33,,,,,,,,
34,34,,,,,,,,
35,35,,,,,,,,
36,36,,,,,,,,
37,37,,,,,,,,
38,38,,,,,,,,
39,39,,,,,,,,
40,40,,,,,,,,
41,41,,,,,,,,
42,42,,,,,,,,
43,43,,,,,,,,
44,44,,,,,,,,
45,45,,,,,,,,
46,46,,,,,,,,
47,47,,,,,,,,
48,48,,,,,,,,
49,49,,,,,,,,
50,50,,,,,,,,
51,51,,,,,,,,
52,52,,,,,,,,
53,53,,,,,,,,
54,54,,,,,,,,
55,55,,,,,,,,
56,56,,,,,,,,
57,57,,,,,,,,
58,58,,,,,,,,
59,59,,,,,,,,
60,60,,,,,,,,
61,61,,,,,,,,
62,62,,,,,,,,
63,63,,,,,,,,
64,64,,,,,,,,
65,65,,,,,,,,
66,66,,,,,,,,
67,67,,,,,,,,
68,68,,,,,,,,
69,69,,,,,,,,
70,70,,,,,,,,
71,71,,,,,,,,
72,72,,,,,,,,
73,73,,,,,,,,
74,74,,,,,,,,
75,75,,,,,,,,
76,76,,,,,,,,
77,77,,,,,,,,
78,78,,,,,,,,
79,79,,,,,,,,
80,80,,,,,,,,
81,81,,,,,,,,
82,82,,,,,,,,
83,83,,,,,,,,
84,84,,,,,,,,
85,85,,,,,,,,
86,86,,,,,,,,
87,87,,,,,,,,
88,88,,,,,,,,
89,89,,,,,,,,
90,90,,,,,,,,
91,91,,,,,,,,
92,92,,,,,,,,
93,93,,,,,,,,
94,94,,,,,,,,
95,95,,,,,,,,
96,96,,,,,,,,
97,97,,,,,,,,
98,98,,,,,,,,
99,99,,,,,,,,
100,100,,,,,,,,
101,101,,,,,,,,
102,102,,,,,,,,
103,103,,,,,,,,
104,104,,,,,,,,
105,105,,,,,,,,
106,106,,,,,,,,
107,107,,,,,,,,
108,108,,,,,,,,
109,109,,,,,,,,
110,110,,,,,,,,
111,111,,,,,,,,
112,112,,,,,,,,
113,113,,,,,,,,
114,114,,,,,,,,
115,115,,,,,,,,
116,116,,,,,,,,
117,117,,,,,,,,
118,118,,,,,,,,
119,119,988.0,251.0,0.698331878986,0.238782080098,,,,
120,120,974.0,246.0,0.721228790777,0.246959548594,0.618216618335,0.220791649405,0.721228790777,
121,121,958.0,239.0,0.747396689966,0.258408004489,0.706533278098,0.309108309168,0.747396689966,
122,122,937.0,231.0,0.781742057651,0.271491954084,0.927324927503,0.353266639049,0.781742057651,
123,123,908.0,220.0,0.82917137493,0.289482384776,1.28059156655,0.485741628692,0.82917137493,
124,124,876.0,213.0,0.881507173308,0.300930840671,1.4130665562,0.309108309168,0.881507173308,
125,125,845.0,206.0,0.932207477986,0.312379296566,1.36890822631,0.309108309168,0.932207477986,
126,126,819.0,201.0,0.974730314168,0.320556765063,1.14811657691,0.220791649405,0.974730314168,
127,127,797.0,197.0,1.01071117555,0.32709873986,0.971483257384,0.176633319524,1.01071117555,
128,128,772.0,191.0,1.05159851804,0.336911702056,1.10395824703,0.264949979287,1.05159851804,
129,129,747.0,184.0,1.09248586052,0.348360157951,1.10395824703,0.309108309168,1.09248586052,
130,130,730.0,172.0,1.12028925341,0.367986082343,0.750691607979,0.529899958573,1.12028925341,
131,131,717.0,159.0,1.1415506715,0.389247500433,0.574058288454,0.574058288454,1.1415506715,
132,132,638.0,125.0,1.27075467374,0.44485428621,3.48850806061,1.50138321596,1.27075467374,
133,133,613.0,107.0,1.31164201622,0.474293172797,1.10395824703,0.79484993786,1.31164201622,
134,134,592.0,95.0,1.34598738391,0.493919097189,0.927324927503,0.529899958573,1.34598738391,
135,135,567.0,89.0,1.38687472639,0.503732059384,1.10395824703,0.264949979287,1.38687472639,
136,136,534.0,85.0,1.44084601847,0.510274034182,1.45722488608,0.176633319524,1.44084601847,
137,137,496.0,82.0,1.50299477904,0.51518051528,1.67801653548,0.132474989643,1.50299477904,
138,138,462.0,78.0,1.55860156482,0.521722490077,1.50138321596,0.176633319524,1.55860156482,
139,139,425.0,72.0,1.61911483169,0.531535452272,1.6338582056,0.264949979287,1.61911483169,
140,140,387.0,66.0,1.68126359227,0.541348414468,1.67801653548,0.264949979287,1.68126359227,
141,141,357.0,64.0,1.73032840324,0.544619401867,1.32474989643,0.0883166597622,1.73032840324,
142,142,287.0,61.0,1.8448129622,0.549525882965,3.09108309168,0.132474989643,1.8448129622,
143,143,268.0,62.0,1.87588734248,0.547890389266,0.839008267741,-0.0441583298811,1.87588734248,
144,144,241.0,60.0,1.92004567236,0.551161376664,1.19227490679,0.0883166597622,1.92004567236,
145,145,207.0,59.0,1.97565245814,0.552796870363,1.50138321596,0.0441583298811,1.97565245814,
146,146,170.0,61.0,2.03616572501,0.549525882965,1.6338582056,-0.0883166597622,2.03616572501,
147,147,134.0,65.0,2.09504349819,0.542983908168,1.58969987572,-0.176633319524,2.09504349819,
148,148,97.0,66.0,2.15555676506,0.541348414468,1.6338582056,-0.0441583298811,2.15555676506,
149,149,62.0,67.0,2.21279904454,0.539712920769,1.54554154584,-0.0441583298811,2.21279904454,
150,150,45.0,64.0,2.24060243743,0.544619401867,0.750691607979,0.132474989643,2.24060243743,
151,151,,,,,,,,
152,152,,,,,,,,
153,153,,,,,,,,
154,154,,,,,,,,
155,155,,,,,,,,
156,156,,,,,,,,
157,157,,,,,,,,
158,158,,,,,,,,
159,159,,,,,,,,
160,160,,,,,,,,
161,161,,,,,,,,
162,162,,,,,,,,
163,163,,,,,,,,
164,164,,,,,,,,
165,165,,,,,,,,
166,166,,,,,,,,
167,167,,,,,,,,
168,168,,,,,,,,
169,169,,,,,,,,
170,170,,,,,,,,
171,171,,,,,,,,
172,172,,,,,,,,
173,173,,,,,,,,
174,174,,,,,,,,
175,175,,,,,,,,
176,176,,,,,,,,
177,177,,,,,,,,
178,178,,,,,,,,
179,179,,,,,,,,
180,180,,,,,,,,
181,181,,,,,,,,
182,182,,,,,,,,
183,183,,,,,,,,
184,184,,,,,,,,
185,185,,,,,,,,
186,186,,,,,,,,
187,187,,,,,,,,
188,188,,,,,,,,
189,189,,,,,,,,
190,190,,,,,,,,
191,191,,,,,,,,
192,192,,,,,,,,
193,193,,,,,,,,
194,194,,,,,,,,
195,195,,,,,,,,
196,196,,,,,,,,
197,197,,,,,,,,
198,198,,,,,,,,
199,199,,,,,,,,
200,200,,,,,,,,
201,201,,,,,,,,
202,202,,,,,,,,
203,203,,,,,,,,
204,204,,,,,,,,
205,205,,,,,,,,
206,206,,,,,,,,
207,207,,,,,,,,
208,208,,,,,,,,
209,209,,,,,,,,
210,210,,,,,,,,
211,211,,,,,,,,
212,212,,,,,,,,
213,213,,,,,,,,
214,214,,,,,,,,
215,215,,,,,,,,
216,216,,,,,,,,
217,217,,,,,,,,
218,218,,,,,,,,
219,219,,,,,,,,
220,220,,,,,,,,
221,221,,,,,,,,
222,222,,,,,,,,
223,223,,,,,,,,
224,224,,,,,,,,
225,225,,,,,,,,
226,226,,,,,,,,
227,227,,,,,,,,
228,228,,,,,,,,
229,229,,,,,,,,
230,230,,,,,,,,
231,231,,,,,,,,
232,232,,,,,,,,
233,233,,,,,,,,
234,234,,,,,,,,
235,235,,,,,,,,
236,236,,,,,,,,
237,237,,,,,,,,
238,238,,,,,,,,
239,239,,,,,,,,
240,240,,,,,,,,
241,241,,,,,,,,
242,242,,,,,,,,
243,243,,,,,,,,
244,244,,,,,,,,
245,245,,,,,,,,
246,246,,,,,,,,
247,247,,,,,,,,
248,248,,,,,,,,
249,249,,,,,,,,
250,250,,,,,,,,
251,251,,,,,,,,
252,252,,,,,,,,
253,253,,,,,,,,
254,254,,,,,,,,
255,255,,,,,,,,
256,256,,,,,,,,
257,257,,,,,,,,
258,258,,,,,,,,
259,259,,,,,,,,
260,260,,,,,,,,
