Image frame,x_px,y_px,x,y
0,0,,,,
1,1,,,,
2,2,,,,
3,3,,,,
4,4,,,,
5,5,,,,
6,6,,,,
7,7,,,,
8,8,,,,
9,9,,,,
10,10,,,,
11,11,,,,
12,12,,,,
13,13,,,,
14,14,,,,
15,15,,,,
16,16,,,,
17,17,,,,
18,18,,,,
19,19,,,,
20,20,,,,
21,21,,,,
22,22,,,,
23,23,,,,
24,24,,,,
25,25,,,,
26,26,,,,
27,27,,,,
28,28,,,,
29,29,,,,
30,30,,,,
31,31,,,,
32,32,,,,
33,33,,,,
34,34,,,,
35,35,,,,
36,36,,,,
37,37,,,,
38,38,,,,
39,39,,,,
40,40,,,,
41,41,,,,
42,42,,,,
43,43,,,,
44,44,,,,
45,45,,,,
46,46,,,,
47,47,,,,
48,48,,,,
49,49,,,,
50,50,,,,
51,51,,,,
52,52,,,,
53,53,,,,
54,54,,,,
55,55,,,,
56,56,,,,
57,57,,,,
58,58,,,,
59,59,,,,
60,60,,,,
61,61,,,,
62,62,,,,
63,63,,,,
64,64,,,,
65,65,,,,
66,66,,,,
67,67,,,,
68,68,,,,
69,69,,,,
70,70,,,,
71,71,,,,
72,72,,,,
73,73,,,,
74,74,,,,
75,75,,,,
76,76,,,,
77,77,,,,
78,78,,,,
79,79,,,,
80,80,,,,
81,81,,,,
82,82,,,,
83,83,,,,
84,84,,,,
85,85,,,,
86,86,,,,
87,87,,,,
88,88,,,,
89,89,,,,
90,90,,,,
91,91,,,,
92,92,,,,
93,93,,,,
94,94,,,,
95,95,,,,
96,96,,,,
97,97,,,,
98,98,,,,
99,99,,,,
100,100,,,,
101,101,,,,
102,102,,,,
103,103,,,,
104,104,,,,
105,105,,,,
106,106,,,,
107,107,,,,
108,108,,,,
109,109,,,,
110,110,,,,
111,111,,,,
112,112,,,,
113,113,,,,
114,114,,,,
115,115,,,,
116,116,,,,
117,117,,,,
118,118,,,,
119,119,,,,
120,120,,,,
121,121,,,,
122,122,,,,
123,123,,,,
124,124,,,,
125,125,,,,
126,126,,,,
127,127,,,,
128,128,,,,
129,129,,,,
130,130,,,,
131,131,,,,
132,132,,,,
133,133,,,,
134,134,,,,
135,135,,,,
136,136,,,,
137,137,,,,
138,138,,,,
139,139,,,,
140,140,,,,
141,141,,,,
142,142,,,,
143,143,,,,
144,144,,,,
145,145,,,,
146,146,,,,
147,147,,,,
148,148,,,,
149,149,,,,
150,150,,,,
151,151,,,,
152,152,,,,
153,153,,,,
154,154,,,,
155,155,,,,
156,156,,,,
157,157,,,,
158,158,,,,
159,159,,,,
160,160,,,,
161,161,,,,
162,162,,,,
163,163,,,,
164,164,,,,
165,165,,,,
166,166,,,,
167,167,,,,
168,168,,,,
169,169,,,,
170,170,,,,
171,171,,,,
172,172,,,,
173,173,,,,
174,174,,,,
175,175,,,,
176,176,,,,
177,177,,,,
178,178,,,,
179,179,,,,
180,180,,,,
181,181,,,,
182,182,,,,
183,183,,,,
184,184,,,,
185,185,,,,
186,186,,,,
187,187,,,,
188,188,,,,
189,189,,,,
190,190,,,,
191,191,,,,
192,192,,,,
193,193,,,,
194,194,,,,
195,195,,,,
196,196,,,,
197,197,,,,
198,198,,,,
199,199,,,,
200,200,,,,
201,201,,,,
202,202,,,,
203,203,,,,
204,204,,,,
205,205,,,,
206,206,,,,
207,207,,,,
208,208,,,,
209,209,,,,
210,210,,,,
211,211,,,,
212,212,,,,
213,213,,,,
214,214,,,,
215,215,,,,
216,216,,,,
217,217,,,,
218,218,,,,
219,219,,,,
220,220,,,,
221,221,,,,
222,222,,,,
223,223,,,,
224,224,,,,
225,225,,,,
226,226,,,,
227,227,,,,
228,228,,,,
229,229,,,,
230,230,,,,
231,231,,,,
232,232,,,,
233,233,,,,
234,234,,,,
235,235,765.0,367.0,6.53519753478,0.157029758169
236,236,757.0,364.0,6.55579160142,0.164752533161
237,237,748.0,362.0,6.5789599264,0.169901049822
238,238,736.0,358.0,6.60985102637,0.180198083145
239,239,727.0,353.0,6.63301935134,0.193069374798
240,240,721.0,345.0,6.64846490133,0.213663441443
241,241,680.0,327.0,6.75400949288,0.260000091395
242,242,674.0,315.0,6.76945504287,0.290891191362
243,243,667.0,305.0,6.78747485118,0.316633774669
244,244,662.0,293.0,6.80034614283,0.347524874636
245,245,658.0,284.0,6.81064317616,0.370693199612
246,246,652.0,277.0,6.82608872614,0.388713007927
247,247,644.0,269.0,6.84668279278,0.409307074572
248,248,635.0,261.0,6.86985111776,0.429901141217
249,249,626.0,254.0,6.89301944274,0.447920949531
250,250,616.0,247.0,6.91876202604,0.465940757846
251,251,607.0,240.0,6.94193035102,0.48396056616
252,252,594.0,238.0,6.97539570932,0.489109082822
253,253,582.0,239.0,7.00628680928,0.486534824491
254,254,572.0,242.0,7.03202939259,0.478812049499
255,255,560.0,244.0,7.06292049256,0.473663532838
256,256,545.0,242.0,7.10153436752,0.478812049499
257,257,532.0,240.0,7.13499972582,0.48396056616
258,258,518.0,235.0,7.17103934245,0.496831857814
259,259,505.0,229.0,7.20450470074,0.512277407797
260,260,494.0,223.0,7.23282154238,0.527722957781
261,261,486.0,217.0,7.25341560903,0.543168507765
262,262,448.0,208.0,7.35123742559,0.566336832741
263,263,440.0,205.0,7.37183149223,0.574059607733
264,264,430.0,204.0,7.39757407554,0.576633866063
265,265,415.0,205.0,7.4361879505,0.574059607733
266,266,401.0,205.0,7.47222756713,0.574059607733
267,267,386.0,203.0,7.51084144209,0.579208124394
268,268,371.0,202.0,7.54945531705,0.581782382725
269,269,355.0,201.0,7.59064345034,0.584356641055
270,270,342.0,202.0,7.62410880864,0.581782382725
271,271,326.0,207.0,7.66529694193,0.568911091071
272,272,315.0,214.0,7.69361378356,0.550891282757
273,273,309.0,222.0,7.70905933355,0.530297216112
274,274,308.0,238.0,7.71163359188,0.489109082822
275,275,309.0,256.0,7.70905933355,0.44277243287
276,276,320.0,274.0,7.68074249191,0.396435782919
277,277,339.0,296.0,7.63183158363,0.339802099644
278,278,358.0,319.0,7.58292067535,0.28059415804
279,279,376.0,337.0,7.5365840254,0.234257508088
280,280,394.0,349.0,7.49024737544,0.203366408121
281,281,411.0,364.0,7.44648498382,0.164752533161
282,282,421.0,379.0,7.42074240052,0.126138658201
283,283,443.0,384.0,7.36410871724,0.113267366548
284,284,452.0,391.0,7.34094039227,0.0952475582337
285,285,492.0,387.0,7.23797005904,0.105544591556
286,286,503.0,391.0,7.2096532174,0.0952475582337
287,287,522.0,392.0,7.16074230912,0.092673299903
288,288,541.0,393.0,7.11183140084,0.0900990415724
289,289,560.0,394.0,7.06292049256,0.0875247832418
290,290,580.0,396.0,7.01143532595,0.0823762665805
291,291,600.0,397.0,6.95995015933,0.0798020082498
292,292,621.0,398.0,6.90589073439,0.0772277499192
293,293,644.0,398.0,6.84668279278,0.0772277499192
294,294,663.0,398.0,6.7977718845,0.0772277499192
295,295,676.0,396.0,6.7643065262,0.0823762665805
296,296,724.0,396.0,6.64074212633,0.0823762665805
297,297,733.0,395.0,6.61757380136,0.0849505249111
298,298,750.0,395.0,6.57381140974,0.0849505249111
299,299,763.0,394.0,6.54034605144,0.0875247832418
300,300,,,,
301,301,,,,
302,302,,,,
303,303,,,,
304,304,,,,
305,305,,,,
306,306,,,,
307,307,,,,
308,308,,,,
309,309,,,,
310,310,,,,
311,311,,,,
312,312,,,,
313,313,,,,
314,314,,,,
315,315,,,,
316,316,,,,
317,317,,,,
318,318,,,,
319,319,,,,
320,320,,,,
321,321,,,,
322,322,,,,
323,323,,,,
324,324,,,,
325,325,,,,
326,326,,,,
327,327,,,,
328,328,,,,
329,329,,,,
330,330,,,,
331,331,,,,
332,332,,,,
333,333,,,,
334,334,,,,
335,335,,,,
336,336,,,,
337,337,,,,
338,338,,,,
339,339,,,,
340,340,,,,
341,341,,,,
342,342,,,,
343,343,,,,
344,344,,,,
345,345,,,,
346,346,,,,
347,347,,,,
348,348,,,,
349,349,,,,
350,350,,,,
351,351,,,,
352,352,,,,
353,353,,,,
354,354,,,,
355,355,,,,
356,356,,,,
357,357,,,,
358,358,,,,
359,359,,,,
360,360,,,,
361,361,,,,
362,362,,,,
363,363,,,,
364,364,,,,
365,365,,,,
366,366,,,,
367,367,,,,
368,368,,,,
369,369,,,,
370,370,,,,
371,371,,,,
372,372,,,,
373,373,,,,
374,374,,,,
375,375,,,,
376,376,,,,
377,377,,,,
378,378,,,,
379,379,,,,
380,380,,,,
381,381,,,,
382,382,,,,
383,383,,,,
