,Image frame,x_px,y_px,x,y,u,v,up_x,down_x
0,,,,,,,,,
1,1.0,,,,,,,,
2,2.0,,,,,,,,
3,3.0,,,,,,,,
4,4.0,,,,,,,,
5,5.0,,,,,,,,
6,6.0,,,,,,,,
7,7.0,,,,,,,,
8,8.0,,,,,,,,
9,9.0,,,,,,,,
10,10.0,,,,,,,,
11,11.0,,,,,,,,
12,12.0,,,,,,,,
13,13.0,,,,,,,,
14,14.0,,,,,,,,
15,15.0,,,,,,,,
16,16.0,,,,,,,,
17,17.0,,,,,,,,
18,18.0,,,,,,,,
19,19.0,,,,,,,,
20,20.0,,,,,,,,
21,21.0,,,,,,,,
22,22.0,,,,,,,,
23,23.0,,,,,,,,
24,24.0,,,,,,,,
25,25.0,,,,,,,,
26,26.0,,,,,,,,
27,27.0,,,,,,,,
28,28.0,,,,,,,,
29,29.0,,,,,,,,
30,30.0,,,,,,,,
31,31.0,,,,,,,,
32,32.0,,,,,,,,
33,33.0,,,,,,,,
34,34.0,,,,,,,,
35,35.0,,,,,,,,
36,36.0,,,,,,,,
37,37.0,,,,,,,,
38,38.0,,,,,,,,
39,39.0,,,,,,,,
40,40.0,,,,,,,,
41,41.0,,,,,,,,
42,42.0,,,,,,,,
43,43.0,,,,,,,,
44,44.0,,,,,,,,
45,45.0,,,,,,,,
46,46.0,,,,,,,,
47,47.0,,,,,,,,
48,48.0,,,,,,,,
49,49.0,,,,,,,,
50,50.0,,,,,,,,
51,51.0,,,,,,,,
52,52.0,,,,,,,,
53,53.0,,,,,,,,
54,54.0,,,,,,,,
55,55.0,,,,,,,,
56,56.0,,,,,,,,
57,57.0,,,,,,,,
58,58.0,,,,,,,,
59,59.0,,,,,,,,
60,60.0,,,,,,,,
61,61.0,,,,,,,,
62,62.0,,,,,,,,
63,63.0,,,,,,,,
64,64.0,,,,,,,,
65,65.0,,,,,,,,
66,66.0,,,,,,,,
67,67.0,,,,,,,,
68,68.0,,,,,,,,
69,69.0,,,,,,,,
70,70.0,,,,,,,,
71,71.0,,,,,,,,
72,72.0,,,,,,,,
73,73.0,,,,,,,,
74,74.0,,,,,,,,
75,75.0,,,,,,,,
76,76.0,,,,,,,,
77,77.0,,,,,,,,
78,78.0,,,,,,,,
79,79.0,,,,,,,,
80,80.0,,,,,,,,
81,81.0,,,,,,,,
82,82.0,,,,,,,,
83,83.0,,,,,,,,
84,84.0,,,,,,,,
85,85.0,,,,,,,,
86,86.0,,,,,,,,
87,87.0,,,,,,,,
88,88.0,,,,,,,,
89,89.0,,,,,,,,
90,90.0,,,,,,,,
91,91.0,,,,,,,,
92,92.0,,,,,,,,
93,93.0,,,,,,,,
94,94.0,,,,,,,,
95,95.0,,,,,,,,
96,96.0,,,,,,,,
97,97.0,,,,,,,,
98,98.0,,,,,,,,
99,99.0,,,,,,,,
100,100.0,,,,,,,,
101,101.0,,,,,,,,
102,102.0,,,,,,,,
103,103.0,,,,,,,,
104,104.0,,,,,,,,
105,105.0,,,,,,,,
106,106.0,,,,,,,,
107,107.0,,,,,,,,
108,108.0,,,,,,,,
109,109.0,,,,,,,,
110,110.0,,,,,,,,
111,111.0,,,,,,,,
112,112.0,,,,,,,,
113,113.0,,,,,,,,
114,114.0,,,,,,,,
115,115.0,,,,,,,,
116,116.0,,,,,,,,
117,117.0,,,,,,,,
118,118.0,,,,,,,,
119,119.0,,,,,,,,
120,120.0,,,,,,,,
121,121.0,,,,,,,,
122,122.0,,,,,,,,
123,123.0,,,,,,,,
124,124.0,,,,,,,,
125,125.0,,,,,,,,
126,126.0,,,,,,,,
127,127.0,,,,,,,,
128,128.0,,,,,,,,
129,129.0,,,,,,,,
130,130.0,,,,,,,,
131,131.0,,,,,,,,
132,132.0,,,,,,,,
133,133.0,,,,,,,,
134,134.0,,,,,,,,
135,135.0,,,,,,,,
136,136.0,,,,,,,,
137,137.0,,,,,,,,
138,138.0,,,,,,,,
139,139.0,,,,,,,,
140,140.0,,,,,,,,
141,141.0,,,,,,,,
142,142.0,,,,,,,,
143,143.0,,,,,,,,
144,144.0,,,,,,,,
145,145.0,,,,,,,,
146,146.0,,,,,,,,
147,147.0,,,,,,,,
148,148.0,,,,,,,,
149,149.0,,,,,,,,
150,150.0,,,,,,,,
151,151.0,,,,,,,,
152,152.0,,,,,,,,
153,153.0,,,,,,,,
154,154.0,,,,,,,,
155,155.0,,,,,,,,
156,156.0,,,,,,,,
157,157.0,,,,,,,,
158,158.0,,,,,,,,
159,159.0,,,,,,,,
160,160.0,,,,,,,,
161,161.0,,,,,,,,
162,162.0,,,,,,,,
163,163.0,,,,,,,,
164,164.0,,,,,,,,
165,165.0,,,,,,,,
166,166.0,,,,,,,,
167,167.0,,,,,,,,
168,168.0,,,,,,,,
169,169.0,,,,,,,,
170,170.0,,,,,,,,
171,171.0,,,,,,,,
172,172.0,,,,,,,,
173,173.0,,,,,,,,
174,174.0,,,,,,,,
175,175.0,,,,,,,,
176,176.0,,,,,,,,
177,177.0,,,,,,,,
178,178.0,,,,,,,,
179,179.0,,,,,,,,
180,180.0,,,,,,,,
181,181.0,,,,,,,,
182,182.0,,,,,,,,
183,183.0,,,,,,,,
184,184.0,,,,,,,,
185,185.0,,,,,,,,
186,186.0,,,,,,,,
187,187.0,,,,,,,,
188,188.0,,,,,,,,
189,189.0,,,,,,,,
190,190.0,,,,,,,,
191,191.0,,,,,,,,
192,192.0,,,,,,,,
193,193.0,,,,,,,,
194,194.0,,,,,,,,
195,195.0,,,,,,,,
196,196.0,,,,,,,,
197,197.0,,,,,,,,
198,198.0,,,,,,,,
199,199.0,,,,,,,,
200,200.0,,,,,,,,
201,201.0,,,,,,,,
202,202.0,,,,,,,,
203,203.0,,,,,,,,
204,204.0,,,,,,,,
205,205.0,,,,,,,,
206,206.0,,,,,,,,
207,207.0,,,,,,,,
208,208.0,,,,,,,,
209,209.0,,,,,,,,
210,210.0,,,,,,,,
211,211.0,,,,,,,,
212,212.0,,,,,,,,
213,213.0,,,,,,,,
214,214.0,,,,,,,,
215,215.0,,,,,,,,
216,216.0,,,,,,,,
217,217.0,,,,,,,,
218,218.0,,,,,,,,
219,219.0,,,,,,,,
220,220.0,,,,,,,,
221,221.0,,,,,,,,
222,222.0,,,,,,,,
223,223.0,,,,,,,,
224,224.0,,,,,,,,
225,225.0,,,,,,,,
226,226.0,,,,,,,,
227,227.0,,,,,,,,
228,228.0,,,,,,,,
229,229.0,,,,,,,,
230,230.0,,,,,,,,
231,231.0,,,,,,,,
232,232.0,,,,,,,,
233,233.0,,,,,,,,
234,234.0,,,,,,,,
235,235.0,765.0,367.0,6.53519753478,0.157029758169,,,6.53519753478,
236,236.0,757.0,364.0,6.55579160142,0.164752533161,0.556039799418,0.208514924782,6.55579160142,
237,237.0,748.0,362.0,6.5789599264,0.169901049822,0.625544774346,0.139009949855,6.5789599264,
238,238.0,736.0,358.0,6.60985102637,0.180198083145,0.834059699127,0.278019899709,6.60985102637,
239,239.0,727.0,353.0,6.63301935134,0.193069374798,0.625544774346,0.347524874636,6.63301935134,
240,240.0,721.0,345.0,6.64846490133,0.213663441443,0.417029849564,0.556039799418,6.64846490133,
241,241.0,697.0,332.0,6.71024710126,0.247128799741,1.66811939825,0.903564674055,6.71024710126,
242,242.0,674.0,315.0,6.76945504287,0.290891191362,1.59861442333,1.18158457376,6.76945504287,
243,243.0,667.0,305.0,6.78747485118,0.316633774669,0.486534824491,0.695049749273,6.78747485118,
244,244.0,662.0,293.0,6.80034614283,0.347524874636,0.347524874636,0.834059699127,6.80034614283,
245,245.0,658.0,284.0,6.81064317616,0.370693199612,0.278019899709,0.625544774346,6.81064317616,
246,246.0,652.0,277.0,6.82608872614,0.388713007927,0.417029849564,0.486534824491,6.82608872614,
247,247.0,644.0,269.0,6.84668279278,0.409307074572,0.556039799418,0.556039799418,6.84668279278,
248,248.0,635.0,261.0,6.86985111776,0.429901141217,0.625544774346,0.556039799418,6.86985111776,
249,249.0,626.0,254.0,6.89301944274,0.447920949531,0.625544774346,0.486534824491,6.89301944274,
250,250.0,616.0,247.0,6.91876202604,0.465940757846,0.695049749273,0.486534824491,6.91876202604,
251,251.0,607.0,240.0,6.94193035102,0.48396056616,0.625544774346,0.486534824491,6.94193035102,
252,252.0,594.0,238.0,6.97539570932,0.489109082822,0.903564674055,0.139009949855,6.97539570932,
253,253.0,582.0,239.0,7.00628680928,0.486534824491,0.834059699127,-0.0695049749273,7.00628680928,
254,254.0,572.0,242.0,7.03202939259,0.478812049499,0.695049749273,-0.208514924782,7.03202939259,
255,255.0,560.0,244.0,7.06292049256,0.473663532838,0.834059699127,-0.139009949855,7.06292049256,
256,256.0,545.0,242.0,7.10153436752,0.478812049499,1.04257462391,0.139009949855,7.10153436752,
257,257.0,532.0,240.0,7.13499972582,0.48396056616,0.903564674055,0.139009949855,7.13499972582,
258,258.0,518.0,235.0,7.17103934245,0.496831857814,0.973069648982,0.347524874636,7.17103934245,
259,259.0,505.0,229.0,7.20450470074,0.512277407797,0.903564674055,0.417029849564,7.20450470074,
260,260.0,494.0,223.0,7.23282154238,0.527722957781,0.7645547242,0.417029849564,7.23282154238,
261,261.0,486.0,217.0,7.25341560903,0.543168507765,0.556039799418,0.417029849564,7.25341560903,
262,262.0,464.0,208.0,7.3100492923,0.566336832741,1.5291094484,0.625544774346,7.3100492923,
263,263.0,440.0,205.0,7.37183149223,0.574059607733,1.66811939825,0.208514924782,7.37183149223,
264,264.0,430.0,204.0,7.39757407554,0.576633866063,0.695049749273,0.0695049749273,7.39757407554,
265,265.0,415.0,205.0,7.4361879505,0.574059607733,1.04257462391,-0.0695049749273,7.4361879505,
266,266.0,401.0,205.0,7.47222756713,0.574059607733,0.973069648982,0.0,7.47222756713,
267,267.0,386.0,203.0,7.51084144209,0.579208124394,1.04257462391,0.139009949855,7.51084144209,
268,268.0,371.0,202.0,7.54945531705,0.581782382725,1.04257462391,0.0695049749273,7.54945531705,
269,269.0,355.0,201.0,7.59064345034,0.584356641055,1.11207959884,0.0695049749273,7.59064345034,
270,270.0,342.0,202.0,7.62410880864,0.581782382725,0.903564674055,-0.0695049749273,7.62410880864,
