Image frame,x_px,y_px,x,y,u,v,up,down
0,0,,,,,,,,
1,1,,,,,,,,
2,2,,,,,,,,
3,3,,,,,,,,
4,4,,,,,,,,
5,5,,,,,,,,
6,6,,,,,,,,
7,7,,,,,,,,
8,8,,,,,,,,
9,9,,,,,,,,
10,10,,,,,,,,
11,11,,,,,,,,
12,12,,,,,,,,
13,13,,,,,,,,
14,14,,,,,,,,
15,15,,,,,,,,
16,16,,,,,,,,
17,17,,,,,,,,
18,18,,,,,,,,
19,19,,,,,,,,
20,20,,,,,,,,
21,21,,,,,,,,
22,22,,,,,,,,
23,23,,,,,,,,
24,24,,,,,,,,
25,25,,,,,,,,
26,26,,,,,,,,
27,27,,,,,,,,
28,28,,,,,,,,
29,29,,,,,,,,
30,30,,,,,,,,
31,31,,,,,,,,
32,32,,,,,,,,
33,33,,,,,,,,
34,34,,,,,,,,
35,35,,,,,,,,
36,36,,,,,,,,
37,37,,,,,,,,
38,38,,,,,,,,
39,39,,,,,,,,
40,40,,,,,,,,
41,41,,,,,,,,
42,42,,,,,,,,
43,43,,,,,,,,
44,44,,,,,,,,
45,45,,,,,,,,
46,46,,,,,,,,
47,47,,,,,,,,
48,48,,,,,,,,
49,49,,,,,,,,
50,50,,,,,,,,
51,51,,,,,,,,
52,52,,,,,,,,
53,53,,,,,,,,
54,54,,,,,,,,
55,55,,,,,,,,
56,56,,,,,,,,
57,57,,,,,,,,
58,58,,,,,,,,
59,59,,,,,,,,
60,60,,,,,,,,
61,61,,,,,,,,
62,62,,,,,,,,
63,63,,,,,,,,
64,64,,,,,,,,
65,65,,,,,,,,
66,66,,,,,,,,
67,67,,,,,,,,
68,68,,,,,,,,
69,69,,,,,,,,
70,70,,,,,,,,
71,71,,,,,,,,
72,72,,,,,,,,
73,73,,,,,,,,
74,74,,,,,,,,
75,75,,,,,,,,
76,76,,,,,,,,
77,77,,,,,,,,
78,78,,,,,,,,
79,79,,,,,,,,
80,80,,,,,,,,
81,81,,,,,,,,
82,82,,,,,,,,
83,83,,,,,,,,
84,84,,,,,,,,
85,85,,,,,,,,
86,86,,,,,,,,
87,87,,,,,,,,
88,88,,,,,,,,
89,89,,,,,,,,
90,90,,,,,,,,
91,91,,,,,,,,
92,92,,,,,,,,
93,93,,,,,,,,
94,94,,,,,,,,
95,95,,,,,,,,
96,96,,,,,,,,
97,97,,,,,,,,
98,98,,,,,,,,
99,99,,,,,,,,
100,100,,,,,,,,
101,101,,,,,,,,
102,102,,,,,,,,
103,103,,,,,,,,
104,104,,,,,,,,
105,105,,,,,,,,
106,106,,,,,,,,
107,107,,,,,,,,
108,108,,,,,,,,
109,109,,,,,,,,
110,110,,,,,,,,
111,111,,,,,,,,
112,112,,,,,,,,
113,113,,,,,,,,
114,114,,,,,,,,
115,115,,,,,,,,
116,116,,,,,,,,
117,117,,,,,,,,
118,118,,,,,,,,
119,119,988.0,251.0,0.698331878986,0.238782080098,,,,
120,120,974.0,246.0,0.721228790777,0.246959548594,0.618216618357,0.220791649392,0.721228790777,
121,121,958.0,239.0,0.747396689966,0.258408004489,0.706533278103,0.309108309165,0.747396689966,
122,122,937.0,231.0,0.781742057651,0.271491954084,0.927324927495,0.353266639065,0.781742057651,
123,123,908.0,220.0,0.82917137493,0.289482384776,1.28059156653,0.485741628684,0.82917137493,
124,124,876.0,213.0,0.881507173308,0.300930840671,1.41306655621,0.309108309165,0.881507173308,
125,125,845.0,206.0,0.932207477986,0.312379296566,1.36890822631,0.309108309165,0.932207477986,
126,126,819.0,201.0,0.974730314168,0.320556765063,1.14811657691,0.220791649419,0.974730314168,
127,127,797.0,197.0,1.01071117555,0.32709873986,0.971483257314,0.176633319519,1.01071117555,
128,128,772.0,191.0,1.05159851804,0.336911702056,1.10395824723,0.264949979292,1.05159851804,
129,129,747.0,184.0,1.09248586052,0.348360157951,1.10395824696,0.309108309165,1.09248586052,
130,130,730.0,172.0,1.12028925341,0.367986082343,0.75069160803,0.529899958584,1.12028925341,
131,131,717.0,159.0,1.1415506715,0.389247500433,0.57405828843,0.57405828843,1.1415506715,
132,132,638.0,125.0,1.27075467374,0.44485428621,3.48850806048,1.50138321598,1.27075467374,
133,133,613.0,107.0,1.31164201622,0.474293172797,1.10395824696,0.794849937849,1.31164201622,
134,134,592.0,95.0,1.34598738391,0.493919097189,0.92732492763,0.529899958584,1.34598738391,
135,135,567.0,89.0,1.38687472639,0.503732059384,1.10395824696,0.264949979265,1.38687472639,
136,136,534.0,85.0,1.44084601847,0.510274034182,1.45722488616,0.176633319546,1.44084601847,
137,137,496.0,82.0,1.50299477904,0.51518051528,1.67801653539,0.132474989646,1.50299477904,
138,138,462.0,78.0,1.55860156482,0.521722490077,1.50138321606,0.176633319519,1.55860156482,
139,139,425.0,72.0,1.61911483169,0.531535452272,1.63385820549,0.264949979265,1.61911483169,
140,140,387.0,66.0,1.68126359227,0.541348414468,1.67801653566,0.264949979292,1.68126359227,
141,141,357.0,64.0,1.73032840324,0.544619401867,1.32474989619,0.088316659773,1.73032840324,
142,142,287.0,61.0,1.8448129622,0.549525882965,3.09108309192,0.132474989646,1.8448129622,
143,143,268.0,62.0,1.87588734248,0.547890389266,0.83900826756,-0.044158329873,1.87588734248,
144,144,241.0,60.0,1.92004567236,0.551161376664,1.19227490676,0.088316659746,1.92004567236,
145,145,207.0,59.0,1.97565245814,0.552796870363,1.50138321606,0.044158329873,1.97565245814,
146,146,170.0,61.0,2.03616572501,0.549525882965,1.63385820549,-0.088316659746,2.03616572501,
147,147,134.0,65.0,2.09504349819,0.542983908168,1.58969987586,-0.176633319519,2.09504349819,
148,148,97.0,66.0,2.15555676506,0.541348414468,1.63385820549,-0.0441583299,2.15555676506,
149,149,62.0,67.0,2.21279904454,0.539712920769,1.54554154596,-0.044158329873,2.21279904454,
150,150,45.0,64.0,2.24060243743,0.544619401867,0.75069160803,0.132474989646,2.24060243743,
151,151,,,,,,,,
152,152,,,,,,,,
153,153,,,,,,,,
154,154,,,,,,,,
155,155,,,,,,,,
156,156,,,,,,,,
157,157,,,,,,,,
158,158,835.0,130.0,3.14832219784,0.524762218479,,,,
159,159,823.0,135.0,3.17903998624,0.51196313998,0.8293802868,-0.345575119473,3.17903998624,
160,160,806.0,138.0,3.22255685314,0.50428369288,1.1749554063,-0.2073450717,3.22255685314,
161,161,783.0,142.0,3.28143261424,0.494044430081,1.5896455497,-0.276460095573,3.28143261424,
162,162,760.0,145.0,3.34030837534,0.486364982981,1.5896455497,-0.2073450717,3.34030837534,
163,163,737.0,149.0,3.39918413643,0.476125720181,1.58964554943,-0.2764600956,3.39918413643,
164,164,715.0,153.0,3.45550008183,0.465886457382,1.5205305258,-0.276460095573,3.45550008183,
165,165,692.0,156.0,3.51437584293,0.458207010282,1.5896455497,-0.2073450717,3.51437584293,
166,166,673.0,159.0,3.56301234123,0.450527563182,1.3131854541,-0.2073450717,3.56301234123,
167,167,663.0,158.0,3.58861049823,0.453087378882,0.691150239,0.0691150239,3.58861049823,
168,168,609.0,160.0,3.72684054602,0.447967747483,3.73221129033,-0.138230047773,3.72684054602,
169,169,594.0,158.0,3.76523778152,0.453087378882,1.0367253585,0.138230047773,3.76523778152,
170,170,576.0,155.0,3.81131446412,0.460766825982,1.2440704302,0.2073450717,3.81131446412,
171,171,553.0,153.0,3.87019022522,0.465886457382,1.5896455497,0.1382300478,3.87019022522,
172,172,530.0,152.0,3.92906598631,0.468446273082,1.58964554943,0.0691150239,3.92906598631,
173,173,506.0,155.0,3.99050156311,0.460766825982,1.6587605736,-0.2073450717,3.99050156311,
174,174,484.0,160.0,4.04681750851,0.447967747483,1.5205305258,-0.345575119473,4.04681750851,
175,175,465.0,164.0,4.09545400681,0.437728484683,1.3131854541,-0.2764600956,4.09545400681,
176,176,457.0,167.0,4.11593253241,0.430049037583,0.5529201912,-0.2073450717,4.11593253241,
177,177,414.0,166.0,4.2260046075,0.432608853283,2.97194602743,0.0691150239,4.2260046075,
178,178,410.0,165.0,4.2362438703,0.435168668983,0.2764600956,0.0691150239,4.2362438703,
179,179,369.0,161.0,4.341196314,0.445407931783,2.8337159799,0.2764600956,4.341196314,
180,180,359.0,160.0,4.366794471,0.447967747483,0.691150239,0.0691150239,4.366794471,
181,181,348.0,160.0,4.3949524437,0.447967747483,0.7602652629,0.0,4.3949524437,
182,182,337.0,162.0,4.42311041639,0.442848116083,0.76026526263,-0.1382300478,4.42311041639,
183,183,320.0,165.0,4.46662728329,0.435168668983,1.1749554063,-0.2073450717,4.46662728329,
